"cityid","cityprovid","cityname","createdby","createddate","updatedby","updateddate","isactive"
3326,33,KABUPATEN PEKALONGAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3327,33,KABUPATEN PEMALANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3328,33,KABUPATEN TEGAL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3329,33,KABUPATEN BREBES,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3371,33,KOTA MAGELANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3372,33,KOTA SURAKARTA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3373,33,KOTA SALATIGA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3374,33,KOTA SEMARANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3375,33,KOTA PEKALONGAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3376,33,KOTA TEGAL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3401,34,KABUPATEN KULON PROGO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3402,34,KABUPATEN BANTUL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3403,34,KABUPATEN GUNUNGKIDUL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3404,34,KABUPATEN SLEMAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3471,34,KOTA YOGYAKARTA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3501,35,KABUPATEN PACITAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3502,35,KABUPATEN PONOROGO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3503,35,KABUPATEN TRENGGALEK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3504,35,KABUPATEN TULUNGAGUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3505,35,KABUPATEN BLITAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3506,35,KABUPATEN KEDIRI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3507,35,KABUPATEN MALANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3508,35,KABUPATEN LUMAJANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3509,35,KABUPATEN JEMBER,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3510,35,KABUPATEN BANYUWANGI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3511,35,KABUPATEN BONDOWOSO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3512,35,KABUPATEN SITUBONDO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3513,35,KABUPATEN PROBOLINGGO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3514,35,KABUPATEN PASURUAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3515,35,KABUPATEN SIDOARJO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3516,35,KABUPATEN MOJOKERTO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3517,35,KABUPATEN JOMBANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3518,35,KABUPATEN NGANJUK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3519,35,KABUPATEN MADIUN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3520,35,KABUPATEN MAGETAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3521,35,KABUPATEN NGAWI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3522,35,KABUPATEN BOJONEGORO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3523,35,KABUPATEN TUBAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3524,35,KABUPATEN LAMONGAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3525,35,KABUPATEN GRESIK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3526,35,KABUPATEN BANGKALAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
